filename,store_name,store_address,store_code,taxpayer_name,tax_id,receipt_number,cashier_name,date,time,item_name,quantity,unit_price,line_total,subtotal,vat_18_percent,total_tax,cashless_payment,cash_payment,bonus_payment,advance_payment,credit_payment,queue_number,cash_register_model,cash_register_serial,fiscal_id,fiscal_registration,refund_amount,refund_date,refund_time
7HhCKAhswVgT.jpeg,AFosir MARKET,"BAKI ŞƏHƏRİ, KƏTAİ RAYONU, GƏNCƏ PR. ev.2942-Cİ, MƏHƏLLƏ 4-CÜ KORPUS",1001994141-20019,ARAZ SUPERMARKET MƏHDUD MƏSULİYYƏTLİ CƏMİYYƏTİ,1001994141,404406,Agos Bagirov,26.03.2023,00:38:28,TARLA NAR SİRE,1.0,279.00,279.00,4.34,0.66,0.66,4.34,0.0,0.0,0.0,0.0,23,NBA FiscalBox,900120010612,7HhCKAhsu/VgT,0000022720,0.12,25.04.2023,09:32
ziH2EQKd9MN9.jpeg,MARKET,AZ1022 BAKI ŞƏHƏRİ 008F”YNssini RAYONU KƏRPİC ev16,1701102351-14010,ANC GROUP MƏHDUD MƏSULİYYƏTLİ CƏMİYYƏTİ,1701102351,331612,Sərxan Hüseynov Rövşən,21.05.2023,14:11:41,FR.SAD MANDARIN MiX,1.0,2.35,2.35,2.35,0.36,0.36,2.35,0.0,0.0,0.0,0.0,216,IPOS AZ1001,ESOF000212,zi42EQKd9MN9,0000071136,0.06,20.06.2023,10:30
8xxqCCnAATyo.jpeg,SAHİL TRADİNG MƏHDUD MƏSULİYYƏTLİ CƏMİYYƏTİ,BAKI ŞƏHƏRİ 2 RAYONU ŞƏMSİ BƏDƏLBƏYLİ ev.102,0800005671-14001,SAHİL TRADİNG MƏHDUD MƏSULİYYƏTLİ CƏMİYYƏTİ,0800005671,null,FİDAN QEHREMANLI,07.06.2023,14:07:41,SIRAB SU QAZSIZ MİN,1.51,0.95,1.43,4.38,0.66,0.66,4.38,0.0,0.0,0.0,0.0,516,NBA FiscalBox,9001909006,8xxqCCnAAlyo,0000000606,0.12,07.07.2023,10:17
EEtAKEvE53u7.jpeg,ARAZ SUPERMARKET MƏHDUD MƏSULİYYƏTLİ CƏMİYYƏTİ,"Bakı Şəhəri, 2942 Saylı Bina",1001994141-20022,ARAZ SUPERMARKET MƏHDUD MƏSULİYYƏTLİ CƏMİYYƏTİ,1001994141,193437,Ramazan Zeynalov,17.05.2023,23:32:27,DARDANEL FASULYELI,1.0,5.69,5.69,7.87,1.08,1.08,7.87,0.0,0.0,0.0,0.0,732,NBA FiscalBox,900119100843,EEtAKEVE53u7,0000007875,0.19,16.06.2023,08:13
AsrYY9yk2auW.jpeg,PROMART Məhdud Məsuliyyətli Cəmiyyəti,"BAKI ŞƏHƏRİ, SÜLEYMAN RÜSTƏM",1702278621-14001,PROMART Məhdud Məsuliyyətli Cəmiyyəti,1702278621,219941,Mammadov Rasad,16.05.2023,14:03:00,ALCA YERLİ KG,4.0,4.00,16.00,8.48,1.25,0.45,8.48,0.0,0.0,0.0,0.0,667,İBM POS 700,41AVVK12,AsrYY9yk2auVV,0000030116,0.07,15.06.2023,11:23
FrRqVhRvw6BC.jpeg,ARAZ SUPERMARKET MƏHDUD MƏSULİYYƏTLİ CƏMİYYƏTİ,"Bakı şəhəri, 2942 saylı bina",1001994141-20022,ARAZ SUPERMARKET MƏHDUD MƏSULİYYƏTLİ CƏMİYYƏTİ,1001994141,195732,Agos Bagirov,20.05.2023,23:28:49,BAKILI QIZ DON.QEHVE,2.0,0.69,1.38,7.91,1.09,1.09,751.00,0.0,0.0,0.0,0.0,324,NBA FiscalBox,900119100843,"F""RqVhRvu6BC",0000007875,0.19,19.06.2023,07:23
F6T6zN3CyJWZ.jpeg,Hə RDA DƏFTƏRXANA,"XƏTAİ RAYONU XUDU MƏMMƏDOV ev.247, BAKI ŞƏHƏRİ",1701061241-20002,LEKAT MƏHDUD MƏSULİYYƏTLİ CƏMİYYƏTİ,1701061241,18402,Default Clerk,21.01.2024,35:25,Məktəb ləvazimatı,1.0,320.00,320.00,320.00,0.49,0.49,320.00,0.0,0.0,0.0,0.0,48,PAX A930 Smart Kassa V 0.0.1,P1171202085,FeTözN3CYIMVZ,0000132888,0.09,20.02.2024,18:54
Co75sE7DgJM7.jpeg,ALSHAYA AZƏRBAYCAN MƏHDUD MƏSULİYYƏTLİ CƏMİYYƏTİ,"Bakı şəhəri, Azadlıq pr. ev. Füzuli küçəsinin kəsişməsi məhəllə 720",1701513331-14002,ALSHAYA AZƏRBAYCAN MƏHDUD MƏSULİYYƏTLİ CƏMİYYƏTİ,1701513331,40821,MEHMEDZADE,23.01.2024,13:13:29,Tatfe Tall,1.0,7.00,7.00,9.50,1.45,1.45,9.50,0.0,0.0,0.0,0.0,32,Micros Vlork Station 6,1334ВАА13008797,Co75sE7Dg)M7,0000093453,0.25,23.02.2024,05:56
ANM2jehF8mJ7.jpeg,İNCİ GROUP OF COMPANİES QAPALI SƏHMDAR CƏMİYYƏTİ,"BAKI ŞƏHƏRİ, АИР RAYONU SÜLEYMAN RÜSTƏM ev.7, MƏHƏLLƏ 724",1700311911-14007,İNCİ GROUP OF COMPANİES QAPALI SƏHMDAR CƏMİYYƏTİ,1700311911,58286,SuperApi,03.07.2023,14:38:51,Qələm Mi-UB-157-BE 0.7mm mavi,1.0,2.90,2.90,2.90,0.44,0.44,2.90,0.0,0.0,0.01,0.0,49,TPS575 Smart POS,В150575100300314,ANM2)ehF8m)7,0000054433,0.08,02.08.2023,10:37
3ZExv5gwy8of.jpeg,ARAZ SUPERMARKET MƏHDUD MƏSULİYYƏTLİ CƏMİYYƏTİ,"Bakı şəhəri, 2942 saylı bina",1001994141-20022,ARAZ SUPERMARKET MƏHDUD MƏSULİYYƏTLİ CƏMİYYƏTİ,1001994141,142148,Ramazan Zeynalov,14.03.2023,22:50:36,VİTAMİN MÜLTİVİTAMIN,1.0,249.00,249.00,9.24,1.31,1.31,9.24,0.0,0.0,0.0,0.0,738,NBA FiscalBox,900119100843,3ZExv5gwy8of,0000007875,0.23,13.04.2023,07:09
FRmu15Lkeqqz.jpeg,ARAZ SUPERMARKET MƏHDUD MƏSULİYYƏTLİ CƏMİYYƏTİ,"Bakı şəhəri, 2942 saylı bina",1001994141-20022,ARAZ SUPERMARKET MƏHDUD MƏSULİYYƏTLİ CƏMİYYƏTİ,1001994141,177784,Zohra Babayeva,25.05.2023,20:13:17,TENDİR COREYİ EDED,1.0,0.79,0.79,0.96,0.0,0.96,,,,,,572,NBA FiscalBox,900119100844,FRmu15Lkeqqz,0000007877,0.17,24.06.2023,09:28
61WvdwLNQkUA.jpeg,İRAz MARKET,"Bakı şəhəri, Gəncə pr. ev. Korpus 04, 2942 saylı bina",1001994141-20022,ARAZ SUPERMARKET MƏHDUD MƏSULİYYƏTLİ CƏMİYYƏTİ,1001994141,null,Agos Bagirov,17.03.2023,23:19:47,İVANOVKA DOVGA,2000.0,3.10,6200.00,8.55,1.30,1.30,8.55,0.0,0.0,0.0,0.0,511,NBA FiscalBox,900119100843,61V/vdurLNQKUA,0000007875,0.23,16.04.2023,06:28
AYLWSFfkBtwQ.jpeg,Obyektin paylofl-s,BAKI ŞƏHƏRİ 2 RAYONU ŞƏMSİ BƏDƏLBƏYLİ ev.102,0800005671-14001,SAHİL TRADİNG MƏHDUD MƏSULİYYƏTLİ CƏMİYYƏTİ,0800005671,10660,GULNARE BAYRAMOVA,27.04.2023,08:42:48,FİRIN KETE SİRİN,100.0,0.90,90.00,12.67,1.93,1.93,12.67,0.0,0.0,0.0,0.0,68,NCR RealPOS XR7 (7703) KLR M-POS 1.05.90,0000039752,AYLIVSFTKBDvQ,0000131911,0.34,27.05.2023,05:59
393uNgMhnoxS.jpeg,MARKET,AZ1022 BAKI ŞƏHƏRİ 008F”YNssini RAYONU KƏRPİC ev16,1701102351-14010,ANC GROUP MƏHDUD MƏSULİYYƏTLİ CƏMİYYƏTİ,1701102351,172969,Sevinc Kübərova,09.05.2023,13:43:46,SOK VİTAMİN ERİK P,1.0,2.29,2.29,2.29,0.35,0.35,2.29,0.0,0.0,0.0,0.0,129,IPOS AZ1001,ESOF000127,393uNgMhnoxs,0000071135,0.06,08.06.2023,05:48
5zPBt65vYNdw.jpeg,ARAZ SUPERMARKET MƏHDUD MƏSULİYYƏTLİ CƏMİYYƏTİ,"Bakı Şəhəri, t.2942 SAYLI BİNA",1001994141-20022,ARAZ SUPERMARKET MƏHDUD MƏSULİYYƏTLİ CƏMİYYƏTİ,1001994141,5819,Ramazan Zeynalov,06.06.2023,20:03:42,BAKILI QIZ DON,2000.0,0.69,1380.00,5.33,0.69,0.69,5.33,0.0,0.0,0.0,0.0,144,NBA FiscalBox,900120010265,5zPBt65vYNdu,0000015497,0.12,06.07.2023,08:04
BPAzUHcnAtJ5.jpeg,AZƏRBAYCAN SUPERMARKET MƏHDUD MƏSULİYYƏTLİ CƏMİYYƏTİ,"Bakı şəhəri, Azadlıq pr. ev. Füzuli küçəsinin kəsişməsi, Məhəllə 720",1403051411-14007,AZƏRBAYCAN SUPERMARKET MƏHDUD MƏSULİYYƏTLİ CƏMİYYƏTİ,1403051411,267706,EZİMOV,10.01.2024,13:26:39,ET POPKEK KARM144Q,1.0,2.00,2.00,20.36,1.98,1.98,20.36,0.0,0.0,0.0,0.0,176,VVincor Nixdorf BEETLE/M-III,53R0351057,BPAzUHcnAtI5,0000114730,0.35,10.02.2024,01:34
Hnd2kzy86Po3.jpeg,AOЈАРАКК- MARKET,AZ1022 BAKI ŞƏHƏRİ 008F”YNssini RAYONU KƏRPİC ev16,1701102351-14010,ANC GROUP MƏHDUD MƏSULİYYƏTLİ CƏMİYYƏTİ,1701102351,508715,Elmir Atakişiyev Hüseyn...,31.12.2023,13:59:33,SANTAL 1LT P.ANANAS,1.0,5.45,5.45,5.45,0.83,0.83,5.45,0.0,0.0,0.0,0.0,197,IPOS AZ1001,ESOF000212,Hnd2kzy86Po3,0000071136,0.15,01.02.2024,01:42
ULkmVh2CFNFp.jpeg,MARKET,AZ1022 BAKI ŞƏHƏRİ 008F”YNssini RAYONU KƏRPİC ev16,1701102351-14010,ANC GROUP MƏHDUD MƏSULİYYƏTLİ CƏMİYYƏTİ,1701102351,501210,Zümrüd Baxşəliyeva Ağa,20.12.2023,14:46:05,SU SİRAB QAZSIZ PL.,1.0,0.50,0.50,150.00,0.23,0.23,150.00,0.0,0.0,0.0,0.0,380,1Р05 AZ1001,ESOF000212,UlkmVh2CFNFP,0000071136,0.04,21.01.2024,03:03
45WEK2aXxzbW.jpeg,BUTA FARM MƏHDUD MƏSULİYYƏTLİ CƏMİYYƏTİ,BAKI ŞƏHƏRİ,1401383441-20035,BUTA FARM MƏHDUD MƏSULİYYƏTLİ CƏMİYYƏTİ,1401985441,80459,Tünzalə Əsədova,21.05.2023,19:20:50,Demaks D3,1.0,17.00,17.00,17.00,2.59,2.59,17.00,0.0,0.0,0.01,0.0,59,NBA FiscalBox,900121010497,45VVEK2aXxzbuV,0000061816,0.45,20.06.2023,08:45
2gtjLacLvDDs.jpeg,AZƏRBAYCAN SUPERMARKET MƏHDUD MƏSULİYYƏTLİ CƏMİYYƏTİ,BAKI ŞƏHƏRİ YƏTİ RAYONU GƏNCƏ PR. MƏHƏLLƏ,1403051411-20006,AZƏRBAYCAN SUPERMARKET MƏHDUD MƏSULİYYƏTLİ CƏMİYYƏTİ,1403051411,575822,RAHMANZADA C.,02.04.2023,00:47:09,MUSTERİ PAKETİ ORTA,1.0,0.05,0.05,19.96,2.88,2.88,19.96,0.0,0.0,0.0,0.0,563,Мипсог Nixdorf ВЕЕТИЕ/М-И1,530523153,2gtiLacLvDDs,0000023188,0.50,02.05.2023,10:01
45TNoaiPmUFz.jpeg,İRAz MARKET,"Bakı şəhəri, Gəncə pr. ev. Korpus 04, 2942 saylı bina",1001994141-20022,ARAZ SUPERMARKET MƏHDUD MƏSULİYYƏTLİ CƏMİYYƏTİ,1001994141,157228,Zohra Babayeva,28.04.2023,23:55:37,MOY MULTİ FRUKT NEKT,1.0,175.00,175.00,6.54,1.00,1.00,6.54,0.0,0.0,0.0,0.0,738,NBA FiscalBox,900119100844,45TNoaiPmUFz.,0000007877,0.18,28.05.2023,08:33
3G9bAk8wGhGF.jpeg,İRAz MARKET,"Bakı Şəhəri, Gəncə Pr. ev.Korpus 04, 09 т.2942 saylı bina",1001994141-20022,ARAZ SUPERMARKET MƏHDUD MƏSULİYYƏTLİ CƏMİYYƏTİ,1001994141,773,Agos Bagirov,25.02.2023,23:10:31,BOSTAN FEYXOA KOMPOT,1.0,175.00,175.00,248.00,0.38,0.38,2.48,0.0,0.0,0.0,0.0,773,NBA FiscalBox,900119100844,3G9bAk8vrGhGF,0000007877,0.07,27.03.2023,05:59
EKVXckqdRoq1.jpeg,İRAz MARKET,"Bakı şəhəri, Gəncə pr. ev. Korpus 04, 09 t. 2942 saylı bina",1001994141-20022,ARAZ SUPERMARKET MƏHDUD MƏSULİYYƏTLİ CƏMİYYƏTİ,1001994141,null,Agos Bagirov,16.03.2023,22:52:38,İVANOVKA DOVGA,200.0,3.10,620.00,6.08,0.93,0.93,6.08,0.0,0.0,0.0,0.0,663,NBA FiscalBox,900119100844,EKVXckqdRoq1,0000007877,0.16,15.04.2023,06:56
E1acd9nBjXzX.jpeg,PROMART Məhdud Məsuliyyətli Cəmiyyəti,"Bakı Şəhəri, Süleyman Rüstəm",1702278621-14001,PROMART Məhdud Məsuliyyətli Cəmiyyəti,1702278621,null,Quliyeva Gulnar,08.05.2023,13:55:01,Banan,0.07,1.25,0.09,9.32,1.68,2.28,9.32,0.0,0.0,0.0,0.0,492,İBM POS 700,41AVVK12,Elacd9nBiXzX,0000030116,0.19,07.06.2023,05:40
5ZC8mMDu2jce.jpeg,ARAZ SUPERMARKET MƏHDUD MƏSULİYYƏTLİ CƏMİYYƏTİ,"Bakı şəhəri, 2942 saylı bina",1001994141-20022,ARAZ SUPERMARKET MƏHDUD MƏSULİYYƏTLİ CƏMİYYƏTİ,1001994141,135824,Agos Bagirov,30.03.2023,18:56:07,ROLLTON KARTOF PURES,1.0,1380.00,1380.00,19.46,2.85,2.85,19.46,0.0,0.0,0.0,0.0,506,NBA FiscalBox,900119100844,52CBmMDu2/ce,0000007877,0.50,29.04.2023,07:03
AVqBCJrTCM68.jpeg,ARAZ SUPERMARKET MƏHDUD MƏSULİYYƏTLİ CƏMİYYƏTİ,"Bakı şəhəri, t.2942 saylı bina",1001994141-20022,ARAZ SUPERMARKET MƏHDUD MƏSULİYYƏTLİ CƏMİYYƏTİ,1001994141,175610,Ramazan Zeynalov,22.05.2023,23:13:03,TENDİR COREYİ,8.0,1.00,8.00,28.75,2.47,2.47,28.75,0.0,0.0,0.0,0.0,732,NBA FiscalBox,900119100844,AVqBCJrTCM68,0000007877,0.43,21.06.2023,08:17
9Ty6wom4AnJk.jpeg,ANC GROUP MƏHDUD MƏSULİYYƏTLİ CƏMİYYƏTİ,AZ1022 BAKI ŞƏHƏRİ 008F”YNssini RAYONU KƏRPİC ev16,1701102351-14010,ANC GROUP MƏHDUD MƏSULİYYƏTLİ CƏMİYYƏTİ,1701102351,201581,Rəsul Moisiyev Denis,09.07.2023,17:31:10,SU SİRAB QAZSIZ,1.0,0.85,0.85,0.85,0.13,0.13,0.85,0.0,0.0,0.0,0.0,227,IPOS AZ1001,ESOF000127,9Ty6inom4Anik,0000071135,0.02,08.08.2023,11:44
A67s97FGXjVE.jpeg,PROMART Məhdud Məsuliyyətli Cəmiyyəti,BAKI ŞƏHƏRİ,1702278621-14001,PROMART Məhdud Məsuliyyətli Cəmiyyəti,1702278621,227178,Piriyeva Roza,23.05.2023,08:39:01,SU SLAVYANKA TL QAZSIZ,1.0,0.78,0.78,4.10,0.63,0.63,4.10,0.0,0.0,0.0,,236,İBM POS 700,41AVVK12,A67s97FGXİVE,0000030116,0.11,22.06.2023,11:21
A2wsXTuTko2X.jpeg,İRAz MARKET,"Bakı şəhəri, 2942 saylı bina",1001994141-20022,ARAZ SUPERMARKET MƏHDUD MƏSULİYYƏTLİ CƏMİYYƏTİ,1001994141,152494,Zohra Babayeva,26.12.2023,20:52:12,SLAVYANKA PLASMAS BL,1.0,245.00,245.00,245.00,0.37,0.37,245.00,0.0,0.0,0.01,0.0,327,NBA FiscalBox,900120010265,A2visXTüTko2X,0000015497,0.06,26.01.2024,01:29
DWLxDtjuUnRf.jpeg,GRAND-MART MƏHDUD MƏSULİYYƏTLİ CƏMİYYƏTİ,"BAKI ŞƏHƏRİ, HADİ ev.75",1401395111-20002,GRAND-MART MƏHDUD MƏSULİYYƏTLİ CƏMİYYƏTİ,1401395111,294102,Karimli Fatima,19.12.2023,22:04:01,BATON SNICKERS SUPER,1.0,179.00,179.00,8.37,1.28,1.28,8.37,0.0,0.0,0.0,0.0,405,NCR RealPOS XR7 (7703) KLR M-POS 1.05.90,0000039327,DV/LxDİİuUnRf,0000096602,0.22,19.01.2024,20:59
GrgtubtyhgSF.jpeg,İRAz MARKET,"Bakı şəhəri, Gəncə pr. ev. Korpus 04, 09 t. 2942 saylı bina",1001994141-20022,ARAZ SUPERMARKET MƏHDUD MƏSULİYYƏTLİ CƏMİYYƏTİ,1001994141,609,Zohra Babayeva,05.05.2023,22:06:42,SIRAB QAZSIZ SU PET,2.0,0.85,1.70,2.23,0.34,0.34,223.00,0.0,0.0,0.0,0.0,609,NBA FiscalBox,900119100844,GrgtubtyhgsF,0000007877,0.06,04.06.2023,08:37
455mNmFhAuEw.jpeg,AZƏRBAYCAN SUPERMARKET MƏHDUD MƏSULİYYƏTLİ CƏMİYYƏTİ,"BAKI ŞƏHƏRİ, YƏTİ RAYONU GƏNCƏ PR. MƏHƏLLƏ",1403051411-20006,AZƏRBAYCAN SUPERMARKET MƏHDUD MƏSULİYYƏTLİ CƏMİYYƏTİ,1403051411,604172,RAHMANZADA C.,12.05.2023,23:48:25,PINAR KREMA 200 ML,1.0,2.39,2.39,8.08,1.23,1.23,8.08,0.0,0.0,0.0,0.0,698,Мипсог Nixdorf BEETLE/M-II,530523153,455mNmFhAuEv,0000023188,0.22,11.06.2023,07:54
4Mq4vTyd3eaF.jpeg,ARAZ SUPERMARKET MƏHDUD MƏSULİYYƏTLİ CƏMİYYƏTİ,BAKI ŞƏHƏRİ (EYRİ RAYONU GƏNCƏ PR. ev.KORPUS 04 vö m.2942 SAYLI BİNA,1001994141-20022,ARAZ SUPERMARKET MƏHDUD MƏSULİYYƏTLİ CƏMİYYƏTİ,1001994141,174671,Zohra Babayeva,21.05.2023,19:18:22,TENDİR COREYİ,1.0,0.79,0.79,21.00,3.20,3.20,2129.00,0.0,0.0,0.0,0.0,530,NBA FiscalBox,900119100844,4MqdvTyd3eaF,0000007877,0.56,20.06.2023,08:54
A6ytTrxiqnbo.jpeg,ARAZ SUPERMARKET MƏHDUD MƏSULİYYƏTLİ CƏMİYYƏTİ,"Bakı şəhəri, 2942 saylı bina",1001994141-20022,ARAZ SUPERMARKET MƏHDUD MƏSULİYYƏTLİ CƏMİYYƏTİ,1001994141,134139,Zohra Babayeva,27.03.2023,23:47:15,BANAN,10.0,3.28,32.80,10.41,0.47,0.47,1041.00,0.0,0.0,0,0.0,785,NBA FiscalBox,900119100844,AöytTrxiqnbo,0000007877,0.08,26.04.2023,06:14
C8Jh3QP4JHF1.jpeg,ARAZ SUPERMARKET MƏHDUD MƏSULİYYƏTLİ CƏMİYYƏTİ,"Bakı Şəhəri, Gəncə Pr. ev. Korpus 04, 2942 saylı bina",1001994141-20022,ARAZ SUPERMARKET MƏHDUD MƏSULİYYƏTLİ CƏMİYYƏTİ,1001994141,194883,Zohra Babayeva,19.05.2023,23:17:41,BAKILI QIZ DON.QEHVE,2.0,0.69,1.38,12.41,1.77,1.77,1241.00,0.0,0.0,0.0,0.0,715,NBA FiscalBox,900119100843,C8)h3QP4)HF1,0000007875,0.31,18.06.2023,07:37
5BLvosgL3Mv2.jpeg,AQUAPARK-MARKET,AZ1022 BAKI ŞƏHƏRİ 008F”YNssini RAYONU KƏRPİC ev16,1701102351-14010,ANC GROUP MƏHDUD MƏSULİYYƏTLİ CƏMİYYƏTİ,1701102351,185896,Rəsul Moisiyev Denis,04.06.2023,16:02:14,SU SİRAB QAZSIZ,1.0,0.85,0.85,1.85,0.28,0.28,1.85,0.0,0.0,0.0,0.0,196,IPOS AZ1001,ESOF000127,5BLvosgL3MV2,0000071135,0.05,04.07.2023,10:09
BUkjVt7TJSHk.jpeg,İRAz MARKET,"Bakı şəhəri, Gəncə pr. ev. Korpus 04, 09 t. 2942 saylı bina",1001994141-20022,ARAZ SUPERMARKET MƏHDUD MƏSULİYYƏTLİ CƏMİYYƏTİ,1001994141,null,Zohra Babayeva,09.05.2023,16:51:12,OAZIS DONURMA PLOMBİ,1.0,0.39,0.39,21.00,0.38,0.38,251.00,0.0,0.0,0.0,0.0,408,NBA FiscalBox,900119100844,BUkjVt7TJSHk,0000007877,0.07,08.06.2023,06:55
7mNWf2J6ZFiq.jpeg,MARKET,AZ1022 BAKI ŞƏHƏRİ 008F”YNssini RAYONU KƏRPİC ev16,1701102351-14010,ANC GROUP MƏHDUD MƏSULİYYƏTLİ CƏMİYYƏTİ,1701102351,181914,Rəsul Moisiyev Denis,27.05.2023,18:11:46,BAR TEZ HAZEL TOR,1.0,24.00,24.00,24.00,3.66,3.66,24.00,0.0,0.0,0.01,0.0,183,IPOS AZ1001,ESOF000127,7mNVif2/62Fiq,0000071135,0.64,26.06.2023,08:35
